years,All ages,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,90 to 94 years,95 to 99 years,100 years and over
2000,30685730,1790699,2036949,2055843,2095909,2068377,2074212,2253438,2688786,2600935,2315428,2044694,1555993,1253214,1141975,1005025,804913,495386,275409,102592,24176,3416
2001,31020902,1754354,2017049,2079739,2115915,2108997,2073119,2240374,2639120,2655885,2379380,2117467,1628793,1288861,1142016,1019558,818935,523143,283968,105780,24927,3522
2002,31360079,1723292,1988754,2114746,2128264,2142288,2085672,2231502,2578328,2691677,2456165,2141472,1749985,1338550,1140978,1033246,828952,554264,291122,111019,26039,3764
2003,31644028,1705276,1947657,2139150,2129918,2178032,2098710,2215051,2490282,2725756,2524286,2179741,1848134,1401324,1149341,1040597,842325,583314,296507,117157,27544,3926
2004,31940655,1705030,1905050,2141832,2144151,2210969,2125033,2194700,2407296,2754756,2574828,2240957,1932945,1466759,1171669,1043574,851147,610824,303334,123295,28446,4060
2005,32243753,1708245,1864782,2124530,2176159,2234320,2151097,2182110,2346332,2760218,2620433,2313725,2016359,1531450,1194243,1043727,863445,628584,320488,129402,29915,4189
2006,32571174,1727509,1824535,2096117,2211529,2251740,2184676,2171257,2322767,2715591,2672563,2382991,2087927,1603066,1235115,1046477,877385,643366,344899,135099,32132,4433
2007,32889025,1753475,1801934,2065911,2232083,2261331,2224627,2182174,2307137,2641231,2711672,2458231,2111816,1716024,1284639,1049111,891561,650796,366994,139597,33998,4683
2008,33247118,1793552,1790489,2032298,2250947,2264625,2272852,2207388,2299965,2548685,2754800,2527565,2152651,1810185,1344053,1061520,901828,661899,386623,143812,36318,5063
2009,33628895,1831631,1791787,1996736,2255781,2286001,2321928,2245345,2288056,2465531,2784706,2583525,2214122,1894421,1404615,1086881,907845,671088,405608,149320,38612,5356
2010,34004889,1871905,1791169,1959099,2248876,2321972,2357383,2283236,2282303,2403059,2780175,2634392,2286060,1981245,1464326,1114688,913391,685077,417899,161696,41196,5742
2011,34339328,1899812,1810914,1918095,2236197,2352455,2368297,2326256,2272425,2385781,2719980,2691049,2352899,2049933,1531965,1152882,918943,700727,426507,175039,43138,6034
2012,34714222,1917338,1847505,1895451,2197641,2389961,2383927,2368073,2291997,2381473,2657781,2726209,2431791,2070138,1644577,1194047,925148,714387,437115,188036,44963,6664
2013,35082954,1924654,1892730,1886668,2154873,2416433,2393577,2411649,2317467,2374735,2577529,2760814,2508170,2110672,1741051,1248201,939265,723748,448403,198537,46722,7056
2014,35437435,1927705,1931039,1893264,2118889,2423034,2413496,2447837,2349272,2362412,2503611,2786582,2566359,2171609,1822528,1304022,961547,730784,457587,208837,49296,7725
2015,35702908,1928878,1969492,1895463,2092961,2395623,2429557,2460501,2371229,2349922,2445816,2783350,2614668,2243211,1903004,1357712,983024,735007,467165,214926,53488,7911
2016,36109487,1942791,2003223,1919810,2083843,2387191,2466106,2488660,2410025,2342178,2431118,2734564,2665850,2313160,1969181,1423187,1014301,742579,480677,223290,59110,8643
2017,36545295,1941873,2021564,1948681,2090598,2401419,2513657,2515087,2455926,2353731,2418092,2664893,2696687,2388059,1996039,1533342,1057693,751645,493690,229680,63937,9002
2018,37065178,1940561,2033313,1992389,2106395,2436459,2575089,2553299,2517339,2381576,2407567,2580128,2728012,2457490,2036232,1625617,1109688,766502,503779,236508,67778,9457
2019,37593384,1932463,2041032,2032988,2114539,2475546,2626058,2605101,2581173,2422043,2397851,2504437,2751377,2513706,2097784,1707580,1164798,788451,511996,242294,71787,10380
2020,38005238,1921944,2044603,2072100,2100865,2482802,2645240,2661723,2630680,2464247,2390116,2449915,2744896,2560241,2167275,1786622,1218303,811370,517710,248593,74476,11517
